Return_ID,Order_ID,Return_Date,Return_Reason
R00267,O000699,2025-03-22,Product Not as Expected
R00268,O002189,2025-06-07,Product Not as Expected
R00269,O000253,2024-12-24,Size/Fit Issue
R00270,O000859,2024-05-23,Changed Mind
R00271,O003555,2025-09-24,Wrong Product
R00272,O005878,2024-09-21,Changed Mind
R00273,O003691,2025-05-04,Wrong Product
R00274,O002298,2025-08-26,Wrong Product
R00275,O004920,2024-06-18,Size/Fit Issue
R00276,O000854,2026-02-16,Wrong Product
R00277,O008237,2025-10-04,Damaged Product
R00278,O007897,2025-07-07,Damaged Product
R00279,O001523,2024-09-17,Damaged Product
R00280,O007570,2024-05-03,Wrong Product
R00281,O001526,2026-02-17,Product Not as Expected
R00282,O003459,2024-07-28,Damaged Product
R00283,O005476,2025-09-23,Product Not as Expected
R00284,O001250,2026-01-03,Changed Mind
R00285,O004783,2026-02-01,Size/Fit Issue
R00286,O005766,2025-09-30,Late Delivery
R00287,O000631,2024-08-06,Defective Product
R00288,O003066,2024-10-22,Wrong Product
R00289,O000636,2026-04-22,Late Delivery
R00290,O003460,2025-11-04,Defective Product
R00291,O000634,2024-09-11,Product Not as Expected
R00292,O006179,2025-11-09,Damaged Product
R00293,O006943,2024-07-06,Damaged Product
R00294,O001902,2024-09-14,Size/Fit Issue
R00295,O005672,2024-10-26,Defective Product
R00296,O006256,2025-07-27,Defective Product
R00297,O003003,2025-02-18,Wrong Product
R00298,O007153,2025-12-14,Size/Fit Issue
R00299,O002151,2024-05-10,Wrong Product
R00300,O002313,2024-11-27,Product Not as Expected
R00301,O004026,2025-11-01,Product Not as Expected
R00302,O006327,2026-02-11,Damaged Product
R00303,O001032,2026-03-12,Wrong Product
R00304,O004630,2025-10-30,Defective Product
R00305,O006448,2025-06-02,Wrong Product
R00306,O002043,2025-09-12,Product Not as Expected
R00307,O000837,2025-05-18,Late Delivery
R00308,O004249,2024-04-25,Size/Fit Issue
R00309,O001498,2025-07-22,Size/Fit Issue
R00310,O000626,2025-06-25,Size/Fit Issue
R00311,O002775,2024-12-17,Defective Product
R00312,O003386,2025-01-23,Wrong Product
R00313,O003886,2025-03-06,Size/Fit Issue
R00314,O006679,2025-05-30,Damaged Product
R00315,O004674,2025-11-12,Damaged Product
R00316,O006677,2024-11-02,Size/Fit Issue
R00317,O003497,2026-01-22,Wrong Product
R00318,O007966,2025-08-30,Product Not as Expected
R00319,O002971,2024-07-08,Size/Fit Issue
R00320,O004037,2025-11-16,Defective Product
R00321,O000503,2025-08-03,Defective Product
R00322,O008300,2025-06-04,Late Delivery
R00323,O001224,2025-05-19,Changed Mind
R00324,O007670,2024-09-27,Product Not as Expected
R00325,O004976,2025-05-30,Product Not as Expected
R00326,O006708,2025-03-05,Damaged Product
R00327,O003796,2026-01-10,Product Not as Expected
R00328,O002878,2026-03-23,Defective Product
R00329,O002505,2024-05-07,Defective Product
R00330,O005377,2025-06-05,Product Not as Expected
R00331,O004541,2024-04-24,Damaged Product
R00332,O000705,2024-12-02,Late Delivery
R00333,O001063,2026-02-17,Late Delivery
R00334,O002081,2025-10-27,Product Not as Expected
R00335,O007150,2025-01-08,Damaged Product
R00336,O005718,2026-02-16,Product Not as Expected
R00337,O000850,2024-11-17,Defective Product
R00338,O005314,2025-03-23,Defective Product
R00339,O001405,2025-04-02,Wrong Product
R00340,O005805,2024-07-29,Size/Fit Issue
R00341,O005686,2025-06-20,Defective Product
R00342,O002074,2025-11-29,Changed Mind
R00343,O001729,2025-06-03,Changed Mind
R00344,O005210,2025-10-15,Damaged Product
R00345,O005382,2025-05-04,Defective Product
R00346,O005439,2024-06-04,Size/Fit Issue
R00347,O003793,2025-05-14,Product Not as Expected
R00348,O007952,2025-10-13,Changed Mind
R00349,O001553,2024-08-20,Late Delivery
R00350,O002197,2025-09-30,Changed Mind
R00351,O001240,2024-06-02,Defective Product
R00352,O008073,2025-09-21,Late Delivery
R00353,O002595,2025-07-23,Wrong Product
R00354,O003920,2026-01-12,Changed Mind
R00355,O004216,2025-08-05,Defective Product
R00356,O003408,2024-07-17,Size/Fit Issue
R00357,O003103,2024-09-03,Defective Product
R00358,O004377,2025-09-08,Defective Product
R00359,O003129,2025-07-22,Damaged Product
R00360,O002875,2026-03-24,Wrong Product
R00361,O003764,2025-09-14,Defective Product
R00362,O006500,2025-09-10,Wrong Product
R00363,O002707,2025-11-04,Changed Mind
R00364,O004853,2026-01-28,Size/Fit Issue
R00365,O005728,2026-01-19,Size/Fit Issue
R00366,O007557,2026-03-15,Size/Fit Issue
R00367,O005240,2026-02-26,Wrong Product
R00368,O004175,2025-06-08,Late Delivery
R00369,O007441,2024-08-22,Changed Mind
R00370,O006251,2025-08-15,Damaged Product
R00371,O005482,2025-07-14,Wrong Product
R00372,O003493,2025-04-04,Wrong Product
R00373,O003678,2025-10-28,Size/Fit Issue
R00374,O001399,2024-12-12,Late Delivery
R00375,O005310,2025-11-17,Damaged Product
R00376,O001508,2024-04-16,Size/Fit Issue
R00377,O008243,2024-07-09,Damaged Product
R00378,O002015,2025-07-12,Defective Product
R00379,O002782,2025-08-03,Size/Fit Issue
R00380,O002546,2025-10-28,Changed Mind
R00381,O002361,2024-12-01,Defective Product
R00382,O005858,2025-04-02,Size/Fit Issue
R00383,O004848,2025-09-14,Changed Mind
R00384,O005702,2025-01-09,Late Delivery
R00385,O007659,2024-11-07,Damaged Product
R00386,O006205,2025-01-31,Wrong Product
R00387,O002644,2026-02-12,Product Not as Expected
R00388,O006683,2025-08-02,Damaged Product
R00389,O005762,2024-07-02,Product Not as Expected
R00390,O005743,2025-11-22,Wrong Product
R00391,O003939,2025-08-14,Size/Fit Issue
R00392,O007726,2026-01-13,Defective Product
R00393,O008078,2026-03-30,Damaged Product
R00394,O003133,2025-08-10,Late Delivery
R00395,O004261,2024-12-27,Size/Fit Issue
R00396,O003794,2025-07-26,Wrong Product
R00397,O000487,2024-10-07,Product Not as Expected
R00398,O004723,2024-07-18,Size/Fit Issue
R00399,O000193,2025-12-05,Defective Product
R00400,O006156,2025-03-17,Product Not as Expected
R00401,O003431,2025-01-23,Size/Fit Issue
R00402,O007511,2024-10-25,Defective Product
R00403,O004982,2025-08-18,Damaged Product
R00404,O003963,2025-08-27,Wrong Product
R00405,O002931,2025-03-07,Size/Fit Issue
R00406,O000295,2025-02-05,Changed Mind
R00407,O005196,2024-05-17,Size/Fit Issue
R00408,O004975,2025-02-09,Changed Mind
R00409,O001105,2024-12-03,Size/Fit Issue
R00410,O000330,2024-11-09,Changed Mind
R00411,O002327,2024-09-08,Product Not as Expected
R00412,O002412,2026-01-17,Late Delivery
R00413,O004563,2025-02-01,Size/Fit Issue
R00414,O003638,2025-03-09,Wrong Product
R00415,O001309,2025-07-09,Changed Mind
R00416,O007386,2025-05-14,Size/Fit Issue
R00417,O007638,2024-05-07,Size/Fit Issue
R00418,O006185,2024-11-07,Product Not as Expected
R00419,O004505,2025-12-18,Product Not as Expected
R00420,O005570,2025-09-21,Defective Product
R00421,O004034,2024-12-08,Wrong Product
R00422,O008207,2025-12-10,Defective Product
R00423,O000268,2026-02-24,Wrong Product
R00424,O003603,2025-05-07,Wrong Product
R00425,O001715,2025-04-19,Size/Fit Issue
R00426,O000329,2026-01-19,Changed Mind
R00427,O001081,2024-05-15,Wrong Product
R00428,O002841,2025-12-30,Damaged Product
R00429,O005512,2026-02-01,Damaged Product
R00430,O001736,2025-11-08,Late Delivery
R00431,O008187,2025-01-26,Size/Fit Issue
R00432,O001655,2026-03-03,Product Not as Expected
R00433,O003040,2025-09-18,Changed Mind
R00434,O004375,2025-11-19,Changed Mind
R00435,O007760,2025-12-07,Wrong Product
R00436,O000576,2025-04-20,Changed Mind
R00437,O004717,2026-03-25,Product Not as Expected
R00438,O004889,2026-04-04,Late Delivery
R00439,O000371,2025-03-11,Product Not as Expected
R00440,O007572,2025-03-23,Size/Fit Issue
R00441,O007385,2025-04-21,Product Not as Expected
R00442,O008369,2025-05-24,Damaged Product
R00443,O004219,2025-11-26,Defective Product
R00444,O001798,2025-08-25,Damaged Product
R00445,O001035,2024-10-02,Damaged Product
R00446,O005848,2025-05-26,Size/Fit Issue
R00447,O002901,2025-12-22,Changed Mind
R00448,O007360,2024-09-13,Product Not as Expected
R00449,O006075,2026-03-31,Product Not as Expected
R00450,O005401,2024-12-28,Damaged Product
R00451,O006333,2025-03-30,Defective Product
R00452,O003726,2025-01-06,Size/Fit Issue
R00453,O007974,2026-02-26,Damaged Product
R00454,O004684,2025-06-23,Product Not as Expected
R00455,O000917,2024-09-13,Changed Mind
R00456,O000286,2026-01-31,Defective Product
R00457,O008400,2025-11-18,Defective Product
R00458,O004740,2026-04-16,Defective Product
R00459,O007532,2025-03-17,Size/Fit Issue
R00460,O000734,2025-09-19,Damaged Product
R00461,O000642,2026-02-04,Defective Product
R00462,O004082,2024-06-28,Damaged Product
R00463,O001737,2025-10-01,Wrong Product
R00464,O003178,2026-04-04,Size/Fit Issue
R00465,O002951,2024-07-18,Wrong Product
R00466,O001505,2025-08-12,Late Delivery
R00467,O007998,2024-05-20,Size/Fit Issue
R00468,O005967,2024-04-29,Product Not as Expected
R00469,O004965,2026-03-25,Defective Product
R00470,O004578,2024-11-17,Wrong Product
R00471,O002673,2024-05-16,Product Not as Expected
R00472,O003115,2026-04-05,Damaged Product
R00473,O005229,2024-12-30,Damaged Product
R00474,O001099,2025-03-01,Damaged Product
R00475,O001193,2024-07-27,Wrong Product
R00476,O008487,2025-03-26,Wrong Product
R00477,O005365,2024-07-08,Defective Product
R00478,O005493,2025-08-25,Damaged Product
R00479,O008460,2024-04-26,Product Not as Expected
R00480,O005046,2024-11-04,Changed Mind
R00481,O000556,2026-03-23,Product Not as Expected
R00482,O004444,2024-08-08,Late Delivery
R00483,O003198,2026-03-12,Wrong Product
R00484,O004592,2026-03-16,Defective Product
R00485,O004440,2024-05-20,Product Not as Expected
R00486,O002232,2025-04-25,Damaged Product
R00487,O007480,2025-05-21,Size/Fit Issue
R00488,O001307,2026-02-11,Late Delivery
R00489,O005955,2024-11-20,Wrong Product
R00490,O002305,2024-05-23,Changed Mind
R00491,O004841,2024-05-02,Product Not as Expected
R00492,O000289,2024-07-03,Size/Fit Issue
R00493,O002675,2025-01-03,Defective Product
R00494,O004984,2024-05-16,Size/Fit Issue
R00495,O003815,2024-09-19,Changed Mind
R00496,O003973,2025-12-28,Late Delivery
R00497,O003299,2025-06-08,Product Not as Expected
R00498,O007048,2025-12-18,Product Not as Expected
R00499,O000660,2024-09-16,Changed Mind
R00500,O008149,2025-02-22,Changed Mind
